"macrocode","UF","macrorregiao","OM2009","OM2010","OM2011","OM2012","OM2013","OM2014","OM2015","OM2016","OM2017","OM2018","OM2019"
1101,"RO","MACRORREGIONAL II (CACOAL)",2,6,0,2,4,2,3,3,4,4,3
1102,"RO","MACRORREGIAO I - PORTO VELHO",15,12,15,15,14,19,11,12,17,7,10
1201,"AC","MACRO UNICA - AC",7,6,6,9,10,8,10,9,8,10,10
1302,"AM","OESTE",14,15,11,5,9,11,7,5,13,5,7
1303,"AM","LESTE",3,1,5,5,2,4,5,7,11,11,6
1304,"AM","CENTRAL",50,52,34,40,39,62,38,42,25,56,46
1401,"RR","MACRO-RORAIMA",10,1,8,4,6,5,12,7,6,9,10
1509,"PA","MACRORREGIONAL IV",13,16,16,15,21,22,11,17,24,19,28
1510,"PA","MACRORREGIONAL III",14,11,11,16,21,17,18,19,26,19,24
1511,"PA","MACRORREGIONAL II",12,12,10,9,15,15,10,14,11,7,13
1512,"PA","MACRORREGIONAL I",41,36,47,52,60,61,54,51,65,59,54
1601,"AP","MACRO UNICA - AP",4,3,6,6,16,8,13,17,8,15,5
1701,"TO","MACRORREGIAO NORTE",7,13,14,8,8,6,7,2,4,3,7
1702,"TO","MACRORREGIAO CENTRO-SUL",15,6,13,5,7,9,11,16,17,6,8
2109,"MA","MACRORREGIAO SUL",18,24,23,15,17,15,29,27,22,25,18
2110,"MA","MACRORREGIAO NORTE",63,70,50,46,58,51,60,56,50,48,47
2111,"MA","MACRORREGIAO LESTE",9,21,22,18,25,20,29,25,24,18,14
2207,"PI","SEMI-ARIDO",10,3,5,8,7,2,2,4,4,7,2
2208,"PI","MEIO NORTE",37,44,31,38,35,26,27,24,21,20,29
2209,"PI","LITORAL",9,2,9,3,5,6,7,5,6,8,8
2210,"PI","CERRADOS",4,8,9,4,6,7,5,10,6,8,8
2306,"CE","5ª MACRO - LITORAL LESTE/JAGUARIBE",2,2,2,5,2,1,1,1,0,1,3
2307,"CE","4ª MACRO - SERTAO CENTRAL",4,3,3,3,4,4,4,2,6,4,3
2308,"CE","3ª MACRO - CARIRI",17,17,14,15,15,13,11,13,12,17,13
2309,"CE","2ª MACRO - SOBRAL",20,19,21,19,19,17,13,17,20,18,15
2310,"CE","1ª MACRO - FORTALEZA",46,52,48,46,53,50,36,39,47,52,41
2401,"RN","MACRORREGIAO II",8,4,9,7,7,8,9,7,8,5,11
2402,"RN","MACRORREGIAO I",17,11,24,24,15,28,21,25,28,19,20
2501,"PB","MACRORREGIAO III - SERTAO/ALTO SERTAO",2,3,8,5,9,7,6,6,11,2,5
2502,"PB","MACRORREGIAO II - CAMPINA GRANDE",20,12,10,10,12,11,18,16,8,18,8
2503,"PB","MACRORREGIAO I - JOAO PESSOA",8,15,13,10,21,12,14,26,17,12,23
2605,"PE","VALE DO S.FRANCISCO E ARARIPE",13,9,20,23,19,18,16,21,21,17,12
2606,"PE","SERTAO",8,6,4,0,1,6,5,1,1,5,3
2607,"PE","METROPOLITANA",60,46,49,59,61,62,68,54,63,53,46
2608,"PE","AGRESTE",9,13,9,5,14,13,12,5,10,11,5
2703,"AL","2ª MACRORREGIAO DE SAUDE",8,10,8,7,12,22,7,8,5,8,15
2704,"AL","1ª MACRORREGIAO DE SAUDE",10,22,20,16,18,33,24,16,11,18,13
2801,"SE","MACRO UNICA",42,26,32,28,25,24,18,19,17,20,12
2910,"BA","SUL (NBS - ILHEUS)",21,14,16,19,10,18,16,8,12,14,9
2911,"BA","SUDOESTE (NBS - VITORIA CONQUISTA)",22,12,10,15,24,14,12,13,14,8,17
2912,"BA","OESTE (NBS - BARREIRAS)",8,6,15,7,5,10,8,8,8,8,11
2913,"BA","NORTE - (NRS - JUAZEIRO)",10,9,11,5,8,5,9,2,4,4,6
