"macrocode","macrorregiao","RMM20092013","RMM20142018"
1101,"MACRORREGIONAL II (CACOAL)",24.6691688252189,26.6982596072019
1102,"MACRORREGIAO I - PORTO VELHO",92.815310604476,84.7468508840637
1201,"MACRO UNICA - AC",43.2535798028547,52.2332621413316
1302,"OESTE",96.8992248062015,66.9278485145282
1303,"LESTE",29.9659137730831,69.1386776318183
1304,"CENTRAL",79.3273044581945,81.045818144814
1401,"MACRO-RORAIMA",57.008059760173,66.2184189079055
1509,"MACRORREGIONAL IV",53.5802877459897,61.3363407926238
1510,"MACRORREGIONAL III",60.6967656107092,76.3299922898998
1511,"MACRORREGIONAL II",43.6244387114243,48.8017876865384
1512,"MACRORREGIONAL I",81.0910177953551,97.745121170245
1601,"MACRO UNICA - AP",43.7286822673946,71.1361966624296
1701,"MACRORREGIAO NORTE",92.2662434721633,42.7990584207147
1702,"MACRORREGIAO CENTRO-SUL",68.4778563453666,83.9129012530045
2109,"MACRORREGIAO SUL",81.2545025046491,96.0606973355368
2110,"MACRORREGIAO NORTE",85.5712552140325,82.8420124669414
2111,"MACRORREGIAO LESTE",73.6919675755343,94.1016135181835
2207,"SEMI-ARIDO",88.1834215167548,56.4820595142543
2208,"MEIO NORTE",147.924262777458,93.3477837812181
2209,"LITORAL",56.4436470659383,64.7170650810986
2210,"CERRADOS",67.6988927955275,78.6592959993008
2306,"5ª MACRO - LITORAL LESTE/JAGUARIBE",39.9238376021129,13.0497194310322
2307,"4ª MACRO - SERTAO CENTRAL",41.3917362615958,50.5484506899864
2308,"3ª MACRO - CARIRI",72.3126129884578,62.4526873580621
2309,"2ª MACRO - SOBRAL",82.9938770843743,73.2430289870058
2310,"1ª MACRO - FORTALEZA",71.7944510215325,63.0332500393958
2401,"MACRORREGIAO II",56.4106696752357,60.8582660328635
2402,"MACRORREGIAO I",50.7993926402287,67.7400573271229
2501,"MACRORREGIAO III - SERTAO/ALTO SERTAO",47.1838246858781,55.551697798764
2502,"MACRORREGIAO II - CAMPINA GRANDE",71.2417209328213,79.5687597359662
2503,"MACRORREGIAO I - JOAO PESSOA",47.7844422414469,56.9428041167538
2605,"VALE DO S.FRANCISCO E ARARIPE",90.1393941345009,102.312482122819
2606,"SERTAO",29.3463486964043,31.1488743142921
2607,"METROPOLITANA",63.7715170896071,68.6280565220674
2608,"AGRESTE",41.0714725765778,45.1163737051158
2703,"2ª MACRORREGIAO DE SAUDE",50.3428910244219,57.5321029134257
2704,"1ª MACRORREGIAO DE SAUDE",49.5237656489341,61.8624228235951
2801,"MACRO UNICA",85.1599113891641,55.7065062925615
2910,"SUL (NBS - ILHEUS)",64.0271475105445,59.7875782513892
