nome_macro,macrocode,nenhum_exame,de_1_a_3_exames,de_4_a_6_exames,mais_de_7_exames,ignorados,parto_vaginal,parto_cesariano
"1ª MACRO - FORTALEZA",2310,3.63775,5.74637,25.79,64.3391,.486772,39.1685,60.8294
"1ª MACRORREGIAO DE SAUDE",2704,2.07206,8.14416,33.1564,55.9728,.654543,47.404,52.5951
"2ª MACRO - SOBRAL",2309,.900235,3.25019,17.6756,78.0094,.164567,54.428,45.5713
"2ª MACRORREGIAO DE SAUDE",2703,2.78245,5.32971,25.768,66.0149,.104961,44.1117,55.8854
"3ª MACRO - CARIRI",2308,.714738,3.7607,20.9263,74.5238,.074485,37.2533,62.7459
"4ª MACRO - SERTAO CENTRAL",2307,1.08218,4.1189,22.4713,72.1663,.161259,48.6534,51.3466
"5ª MACRO - LITORAL LESTE/JAGUARIBE",2306,1.09433,2.77395,17.738,78.1699,.223785,39.8388,60.1612
"AGRESTE",2608,1.21296,4.28497,22.6384,71.6327,.230955,48.176,51.824
"ALTO VALE DO ITAJAI",4216,.368154,3.2882,17.5479,78.6974,.098334,42.2371,57.7629
"CAMPO GRANDE",5008,1.09568,7.46879,24.3598,66.884,.191726,38.8104,61.1896
"CENTRAL",1304,3.8679,13.4814,36.2665,45.9308,.453427,56.5989,43.3974
"CENTRAL",3208,.498805,4.73018,18.8925,75.5228,.355751,36.9916,63.0065
"CENTRO",3103,.827553,3.96548,19.8298,74.8873,.489877,51.7854,48.2142
"CENTRO-LESTE (NRS - FEIRA SANTANA)",2917,7.30801,5.33591,25.505,61.3054,.545662,52.0497,47.9436
"CENTRO-OESTE",4314,1.61977,5.22374,18.2409,74.8165,.099143,33.6357,66.3643
"CENTRO - NORTE (NRS - JACOBINA)",2918,2.58392,6.22337,27.0763,63.8675,.248876,64.7119,35.2851
"CENTRO SUL",3102,1.22264,3.34717,23.4434,71.7981,.188679,28.4478,71.5503
"CERRADOS",2210,.990262,6.59687,30.8665,61.4164,.12996,42.0246,57.9717
"CORUMBA",5007,3.84249,8.16805,24.1675,63.7195,.102467,33.3089,66.6911
"DISTRITO FEDERAL",5302,2.29117,5.31453,18.4857,72.8923,1.01633,45.0561,54.9431
"DOURADOS",5006,1.63156,7.04408,24.2416,66.8305,.252304,40.8888,59.1064
"EXTREMO SUL (NRS - TEIXEIRA FREITAS)",2916,1.96392,8.81143,30.0325,58.7731,.419105,59.5299,40.4637
