macrocode,macrorregiao,mpib20092013,mpib20142018,med_por1000_20092013,med_por1000_20142018,mpsaude20092013,mpsaude20142018,mpobres2010,mtmi2010,mtanalfa2010,mgini2010,mexpobres2010,mitheill2010,mitheilrt2010,maguaesgruim2010,msemeletric2010,midh2010,midh_edu2010,midh_long2010,midh_renda2010,om_tot,nvtot,pop_tot,tbn,c,rmm,rmmest
1101,"MACRORREGIONAL II (CACOAL)",14680.4,20628.5,.65462,.880205,5.73184,6.12383,16.0961,18.1776,9.87217,.531541,7.20028,.516288,.444164,6.69948,2.31177,.680065,.57225,.798739,.689705,16,59929,3.9e+06,1.556507,37.94891,26.69826,63.32311
1102,"MACRORREGIAO I - PORTO VELHO",18498.5,23837.4,1.0855,1.15255,13.2142,10.4276,13.6418,17.5968,7.76281,.543563,5.66838,.528851,.442346,17.6091,3.1147,.692478,.576855,.806044,.717392,66,77879,4.7e+06,1.643404,50.89379,84.74685,65.34982
1201,"MACRO UNICA - AC",12492.1,17142,.981244,.930471,6.09736,4.69501,29.4274,22.8941,17.1469,.600082,15.5733,.647181,.465812,28.0718,8.84085,.656539,.55796,.78054,.65565,45,86152,4.2e+06,2.041615,72.53275,52.23326,84.1916
1302,"OESTE",5464.22,8445.9,.305181,.369787,1.24777,.568001,55.4624,23.4564,23.7376,.625515,33.8581,.67555,.488279,39.9914,15.4437,.550282,.412064,.763088,.534621,41,61260,2.5e+06,2.44415,66.19597,66.92785,108.0574
1303,"LESTE",7280.33,10181.3,.352507,.356708,.868971,.781416,47.1435,19.8788,10.875,.606267,27.8058,.664652,.509343,38.6239,15.6095,.611086,.512302,.784876,.571132,38,54962,3.0e+06,1.844181,43.08183,69.13868,78.38477
1304,"CENTRAL",23858.6,28008.8,1.11561,1.01672,18.6665,16.0011,22.7665,16.3306,7.86464,.612195,10.8274,.673419,.482346,13.6813,4.77856,.691949,.596484,.810938,.69024,223,275153,1.4e+07,1.928289,196.3682,81.04581,71.36691
1401,"MACRO-RORAIMA",15830.1,21588,1.16994,1.14239,5.94609,5.24259,26.6357,16.2219,10.841,.606616,15.6415,.674138,.475743,12.4485,9.24856,.696991,.626153,.809357,.675568,39,58896,2.7e+06,2.210215,52.36866,66.21842,88.91718
1509,"MACRORREGIONAL IV",21244.7,25843.4,.416677,.446062,8.41096,7.65664,28.6552,21.4691,14.6012,.555169,13.2142,.538372,.393783,30.6293,6.076,.624681,.496985,.783199,.630107,93,151623,9.1e+06,1.671056,92.93904,61.33634,61.29613
1510,"MACRORREGIONAL III",9325.84,16397,.303494,.403238,3.21028,3.24218,39.6433,20.6043,13.0833,.5903,22.1762,.629023,.493395,38.199,15.6312,.61669,.505185,.788102,.596246,99,129700,6.6e+06,1.975768,102.07,76.32999,78.69697
1511,"MACRORREGIONAL II",7311.46,11340.8,.309805,.333518,2.61395,2.33476,41.5461,23.3927,16.3736,.560341,20.5723,.562265,.470004,35.1668,7.67764,.588779,.463857,.770675,.576026,57,116799,9.0e+06,1.3032,68.77407,48.80179,58.88242
